"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Monty no Doki Doki Daidassou","UN","Action,General","Monty no Doki Doki Daidassou is an Action game, developed and published by Jaleco Entertainment,which was released in Japan in 1987.","n/a","7.5","n/a","Jaleco Entertainment","Jul 31, 1987 ","http://www.gamefaqs.com/famicomds/578453-monty-no-doki-doki-daidassou"
"Monty no Doki Doki Daidassou: Monty on the Run","JP","Action,General","Monty no Doki Doki Daidassou is an Action game, developed and published by Jaleco Entertainment,which was released in Japan in 1987.","n/a","7.5","n/a","Jaleco Entertainment","Jul 31, 1987 ","http://www.gamefaqs.com/famicomds/578453-monty-no-doki-doki-daidassou"
"Monty no Doki Doki Daidassou","UN","Action,General","Monty no Doki Doki Daidassou is an Action game, developed and published by Jaleco Entertainment,which was released in Japan in 1987.","n/a","7.5","n/a","Jaleco Entertainment","Jul 31, 1987 ","http://www.gamefaqs.com/famicomds/578453-monty-no-doki-doki-daidassou"
"Monty no Doki Doki Daidassou: Monty on the Run","JP","Action,General","Monty no Doki Doki Daidassou is an Action game, developed and published by Jaleco Entertainment,which was released in Japan in 1987.","n/a","7.5","n/a","Jaleco Entertainment","Jul 31, 1987 ","http://www.gamefaqs.com/famicomds/578453-monty-no-doki-doki-daidassou"
"Moon Ball Magic","UN","Miscellaneous,Parlor,Pinball","Moon Ball Magic is a Miscellaneous game, developed by System Sacom and published by SquareSoft,which was released in Japan in 1988.","n/a","n/a","n/a","System Sacom","Jul 12, 1988 ","http://www.gamefaqs.com/famicomds/578615-moon-ball-magic"
"Mr. Gold","UN","Adventure,First-Person,Sci-Fi","Mr. Gold is an Adventure game, published by Toei Animation,which was released in Japan in 1988.","n/a","n/a","n/a","Toei Animation","Jul 19, 1988 ","http://www.gamefaqs.com/famicomds/578617-mr-gold"
"Mr. Gold: Tooyama no Kinsan Space Chou","JP","Adventure,First-Person,Sci-Fi","Mr. Gold is an Adventure game, published by Toei Animation,which was released in Japan in 1988.","n/a","n/a","n/a","Toei Animation","Jul 19, 1988 ","http://www.gamefaqs.com/famicomds/578617-mr-gold"
"Mr. Gold","UN","Adventure,First-Person,Sci-Fi","Mr. Gold is an Adventure game, published by Toei Animation,which was released in Japan in 1988.","n/a","n/a","n/a","Toei Animation","Jul 19, 1988 ","http://www.gamefaqs.com/famicomds/578617-mr-gold"
"Mr. Gold: Tooyama no Kinsan Space Chou","JP","Adventure,First-Person,Sci-Fi","Mr. Gold is an Adventure game, published by Toei Animation,which was released in Japan in 1988.","n/a","n/a","n/a","Toei Animation","Jul 19, 1988 ","http://www.gamefaqs.com/famicomds/578617-mr-gold"
"Nakayama Miho no Tokimeki High School","UN","Adventure,First-Person,Modern","Nakayama Miho no Tokimeki High School is an Adventure game, developed and published by Nintendo,which was released in Japan in 1987.","n/a","8.0","n/a","Nintendo","Dec1, 1987 ","http://www.gamefaqs.com/famicomds/578510-nakayama-miho-no-tokimeki-high-school"
"Idol Hotline: Nakayama Miho no Tokimeki High School","JP","Adventure,First-Person,Modern","Nakayama Miho no Tokimeki High School is an Adventure game, developed and published by Nintendo,which was released in Japan in 1987.","n/a","8.0","n/a","Nintendo","Dec1, 1987 ","http://www.gamefaqs.com/famicomds/578510-nakayama-miho-no-tokimeki-high-school"
"Namida no Soukoban Special","UN","Miscellaneous,Puzzle,General","Namida no Soukoban Special is a Miscellaneous game, developed and published by ASCII Entertainment,which was released in Japan in 1986.","n/a","8.5","n/a","ASCII Entertainment","Jul 30, 1986 ","http://www.gamefaqs.com/famicomds/578304-namida-no-soukoban-special"
"Nankin no Adventure","UN","Adventure,General","Nankin no Adventure is an Adventure game, developed and published by SunSoft,which was released in Japan in 1988.","n/a","n/a","n/a","SunSoft","Dec9, 1988 ","http://www.gamefaqs.com/famicomds/579381-nankin-no-adventure"
"Nazo no Kabe","UN","Action,General","Nazo no Kabe is an Action game, developed and published by Konami,which was released in Japan in 1986.","n/a","6.5","n/a","Konami","Dec 13, 1986 ","http://www.gamefaqs.com/famicomds/578356-nazo-no-kabe"
"Nazo no Kabe: Block Kuzushi","JP","Action,General","Nazo no Kabe is an Action game, developed and published by Konami,which was released in Japan in 1986.","n/a","6.5","n/a","Konami","Dec 13, 1986 ","http://www.gamefaqs.com/famicomds/578356-nazo-no-kabe"
"Nazo no Kabe","UN","Action,General","Nazo no Kabe is an Action game, developed and published by Konami,which was released in Japan in 1986.","n/a","6.5","n/a","Konami","Dec 13, 1986 ","http://www.gamefaqs.com/famicomds/578356-nazo-no-kabe"
"Nazo no Kabe: Block Kuzushi","JP","Action,General","Nazo no Kabe is an Action game, developed and published by Konami,which was released in Japan in 1986.","n/a","6.5","n/a","Konami","Dec 13, 1986 ","http://www.gamefaqs.com/famicomds/578356-nazo-no-kabe"
"Nazo no Murasame-Jou","UN","Action,General","Nazo no Murasame-Jou is an Action game, developed and published by Nintendo,which was released in Japan in 1986.","n/a","8.1","n/a","Nintendo","Apr 14, 1986 ","http://www.gamefaqs.com/famicomds/578296-nazo-no-murasame-jou"
"Nazoler Land","UN","Miscellaneous,General","Nazoler Land is a Miscellaneous game, developed and published by SunSoft,which was released in Japan in 1987.","n/a","n/a","n/a","SunSoft","Feb6, 1987 ","http://www.gamefaqs.com/famicomds/578377-nazoler-land"
"Nazoler Land Soukan Gou","JP","Miscellaneous,General","Nazoler Land is a Miscellaneous game, developed and published by SunSoft,which was released in Japan in 1987.","n/a","n/a","n/a","SunSoft","Feb6, 1987 ","http://www.gamefaqs.com/famicomds/578377-nazoler-land"
"Nazoler Land Dai 2 Gou","UN","Miscellaneous,General","Nazoler Land Dai 2 Gou is a Miscellaneous game, developed and published by SunSoft,which was released in Japan in 1987.","n/a","n/a","n/a","SunSoft","Jun 12, 1987 ","http://www.gamefaqs.com/famicomds/578431-nazoler-land-dai-2-gou"
"Nazoler Land Dai 3 Gou","UN","Miscellaneous,General","Nazoler Land Dai 3 Gou is a Miscellaneous game, developed and published by SunSoft,which was released in Japan in 1988.","n/a","n/a","n/a","SunSoft","Mar 11, 1988 ","http://www.gamefaqs.com/famicomds/578561-nazoler-land-dai-3-gou"
"Nazoler Land","UN","Miscellaneous,General","Nazoler Land is a Miscellaneous game, developed and published by SunSoft,which was released in Japan in 1987.","n/a","n/a","n/a","SunSoft","Feb6, 1987 ","http://www.gamefaqs.com/famicomds/578377-nazoler-land"
"Nazoler Land Soukan Gou","JP","Miscellaneous,General","Nazoler Land is a Miscellaneous game, developed and published by SunSoft,which was released in Japan in 1987.","n/a","n/a","n/a","SunSoft","Feb6, 1987 ","http://www.gamefaqs.com/famicomds/578377-nazoler-land"
"Nazoler Land Special","UN","Miscellaneous,General","Nazoler Land Special is a Miscellaneous game, developed and published by SunSoft,which was released in Japan in 1987.","n/a","n/a","n/a","SunSoft","Dec 18, 1987 ","http://www.gamefaqs.com/famicomds/578517-nazoler-land-special"
"Nazoler Land Special!! Quiz Ou o Ikuse","JP","Miscellaneous,General","Nazoler Land Special is a Miscellaneous game, developed and published by SunSoft,which was released in Japan in 1987.","n/a","n/a","n/a","SunSoft","Dec 18, 1987 ","http://www.gamefaqs.com/famicomds/578517-nazoler-land-special"
"Nazoler Land Special","UN","Miscellaneous,General","Nazoler Land Special is a Miscellaneous game, developed and published by SunSoft,which was released in Japan in 1987.","n/a","n/a","n/a","SunSoft","Dec 18, 1987 ","http://www.gamefaqs.com/famicomds/578517-nazoler-land-special"
"Nazoler Land Special!! Quiz Ou o Ikuse","JP","Miscellaneous,General","Nazoler Land Special is a Miscellaneous game, developed and published by SunSoft,which was released in Japan in 1987.","n/a","n/a","n/a","SunSoft","Dec 18, 1987 ","http://www.gamefaqs.com/famicomds/578517-nazoler-land-special"
"Famicom Disk System","UN","Hardware,Console","Famicom Disk System is a Hardware game, developed and published by Nintendo,which was released in Japan in 1986.","n/a","8.0","n/a","Nintendo","Feb 21, 1986 ","http://www.gamefaqs.com/famicomds/916578-famicom-disk-system"
"Nintendo Famicom Disk System","JP","Hardware,Console","Famicom Disk System is a Hardware game, developed and published by Nintendo,which was released in Japan in 1986.","n/a","8.0","n/a","Nintendo","Feb 21, 1986 ","http://www.gamefaqs.com/famicomds/916578-famicom-disk-system"
"SHARP Twin Famicom","JP","Hardware,Console","Famicom Disk System is a Hardware game, developed and published by Nintendo,which was released in Japan in 1986.","n/a","8.0","n/a","Nintendo","Feb 21, 1986 ","http://www.gamefaqs.com/famicomds/916578-famicom-disk-system"
"Omoikkiri Tanteidan Haado Gumi: Matenrou no Chousenjou","UN","Adventure,General","Omoikkiri Tanteidan Haado Gumi: Matenrou no Chousenjou is an Adventure game, developed and published by Bandai,which was released in Japan in 1988.","n/a","n/a","n/a","Bandai","Mar 25, 1988 ","http://www.gamefaqs.com/famicomds/578562-omoikkiri-tanteidan-haado-gumi-matenrou-no"
"Othello","UN","Miscellaneous,Board Games","Othello is a Miscellaneous game, developed by Hal and published by Kawada,which was released in Japan in 1986.","n/a","8.0","n/a","Hal","Oct 13, 1986 ","http://www.gamefaqs.com/famicomds/922341-othello"
"Otocky","UN","Miscellaneous,Rhythm,Music","Otocky is a Miscellaneous game, developed by Scitron & Art and published by ASCII Entertainment,which was released in Japan in 1987.","10.0","7.8","n/a","Scitron & Art","Mar 27, 1987 ","http://www.gamefaqs.com/famicomds/578393-otocky"
"Pac-Man","UN","Action,General","Gobble, gobble, gulp! Who's munching Power Pellets? Who's zipping around the maze at top speed, chomping up ghosts and scoring big points? It's Pac-Man, the world's hungriest character! Devour a fruit treat and get a big bonus score. But if you're caught by the little haunters, you're ghostflakes! Use the warp tunnel for a quick escape. Hours of ghost-chomping action!","n/a","7.0","n/a","Namco","May 18, 1990 ","http://www.gamefaqs.com/famicomds/922356-pac-man"
"Pachicom","UN","Miscellaneous,Parlor,Gambling","Pachicom is a Miscellaneous game, developed by Shouei and published by Toshiba EMI,which was released in Japan in 1988.","n/a","n/a","n/a","Shouei","Oct4, 1988 ","http://www.gamefaqs.com/famicomds/579337-pachicom"
"Pachinko GP","UN","Miscellaneous,Parlor,Gambling","Pachinko GP is a Miscellaneous game, developed by Nintendo and published by Data East,which was released in Japan in 1988.","n/a","n/a","n/a","Nintendo","Nov 18, 1988 ","http://www.gamefaqs.com/famicomds/579356-pachinko-gp"
"Panic Space","UN","Miscellaneous,Puzzle,General","Panic Space is a Miscellaneous game, published by Tokuma Shoten,which was released in Japan in 1990.","n/a","n/a","n/a","Tokuma Shoten","Oct 19, 1990 ","http://www.gamefaqs.com/famicomds/579716-panic-space"
"Panic Space - Famimaga Disk Vol. 2","JP","Miscellaneous,Puzzle,General","Panic Space is a Miscellaneous game, published by Tokuma Shoten,which was released in Japan in 1990.","n/a","n/a","n/a","Tokuma Shoten","Oct 19, 1990 ","http://www.gamefaqs.com/famicomds/579716-panic-space"
"Panic Space","UN","Miscellaneous,Puzzle,General","Panic Space is a Miscellaneous game, published by Tokuma Shoten,which was released in Japan in 1990.","n/a","n/a","n/a","Tokuma Shoten","Oct 19, 1990 ","http://www.gamefaqs.com/famicomds/579716-panic-space"
"Panic Space - Famimaga Disk Vol. 2","JP","Miscellaneous,Puzzle,General","Panic Space is a Miscellaneous game, published by Tokuma Shoten,which was released in Japan in 1990.","n/a","n/a","n/a","Tokuma Shoten","Oct 19, 1990 ","http://www.gamefaqs.com/famicomds/579716-panic-space"
"Pinball","UN","Miscellaneous,Parlor,Pinball","Pinball is a Miscellaneous game, developed and published by Nintendo,which was released in Japan in 1989.","n/a","n/a","n/a","Nintendo","May 30, 1989 ","http://www.gamefaqs.com/famicomds/922355-pinball"
"Pro Golfer Saru","UN","Sports,Traditional,Golf,Arcade","Pro Golfer Saru is a Sports game, developed by TOSE and published by Bandai,which was released in Japan in 1987.","n/a","6.5","n/a","TOSE","May 25, 1987 ","http://www.gamefaqs.com/famicomds/578418-pro-golfer-saru"
"Pro Golfer Saru: Kage no Tournament","JP","Sports,Traditional,Golf,Arcade","Pro Golfer Saru is a Sports game, developed by TOSE and published by Bandai,which was released in Japan in 1987.","n/a","6.5","n/a","TOSE","May 25, 1987 ","http://www.gamefaqs.com/famicomds/578418-pro-golfer-saru"
"Pro Golfer Saru","UN","Sports,Traditional,Golf,Arcade","Pro Golfer Saru is a Sports game, developed by TOSE and published by Bandai,which was released in Japan in 1987.","n/a","6.5","n/a","TOSE","May 25, 1987 ","http://www.gamefaqs.com/famicomds/578418-pro-golfer-saru"
"Pro Golfer Saru: Kage no Tournament","JP","Sports,Traditional,Golf,Arcade","Pro Golfer Saru is a Sports game, developed by TOSE and published by Bandai,which was released in Japan in 1987.","n/a","6.5","n/a","TOSE","May 25, 1987 ","http://www.gamefaqs.com/famicomds/578418-pro-golfer-saru"
"Pro Wrestling","UN","Action,Fighting,Wrestling","It's a reverse bulldog, a double nogin-knocker, a leap off the top turnbuckle - it's pure pandemonium! Welcome to the world of Nintendo Pro Wrestling, where you take on six of the meanest, baddest, most rotten guys around. With names like The Amazon, Giant Panther and Kin Korn Karn. You'll begin the match by choosing a wrestler and an opponent - either the computer or a friend. Then with a flick of the wrist you'll perform drop-kicks, body-slams, head-locks and dozens of other bone-crunching moves designed to annihilate your opponent. But be warned. Each wrestler has his own arsenal of back-breaking moves. Which means you'll have to think fast and move even faster to pin your opponent, hold him for a three-count, and become champion of Nintendo Pro Wrestling!","n/a","6.3","n/a","Human Entertainment","Oct 21, 1986 ","http://www.gamefaqs.com/famicomds/922342-pro-wrestling"
"Pro Wrestling: Famicom Wrestling Association","JP","Action,Fighting,Wrestling","It's a reverse bulldog, a double nogin-knocker, a leap off the top turnbuckle - it's pure pandemonium! Welcome to the world of Nintendo Pro Wrestling, where you take on six of the meanest, baddest, most rotten guys around. With names like The Amazon, Giant Panther and Kin Korn Karn. You'll begin the match by choosing a wrestler and an opponent - either the computer or a friend. Then with a flick of the wrist you'll perform drop-kicks, body-slams, head-locks and dozens of other bone-crunching moves designed to annihilate your opponent. But be warned. Each wrestler has his own arsenal of back-breaking moves. Which means you'll have to think fast and move even faster to pin your opponent, hold him for a three-count, and become champion of Nintendo Pro Wrestling!","n/a","6.3","n/a","Human Entertainment","Oct 21, 1986 ","http://www.gamefaqs.com/famicomds/922342-pro-wrestling"
"Pro Wrestling","UN","Action,Fighting,Wrestling","It's a reverse bulldog, a double nogin-knocker, a leap off the top turnbuckle - it's pure pandemonium! Welcome to the world of Nintendo Pro Wrestling, where you take on six of the meanest, baddest, most rotten guys around. With names like The Amazon, Giant Panther and Kin Korn Karn. You'll begin the match by choosing a wrestler and an opponent - either the computer or a friend. Then with a flick of the wrist you'll perform drop-kicks, body-slams, head-locks and dozens of other bone-crunching moves designed to annihilate your opponent. But be warned. Each wrestler has his own arsenal of back-breaking moves. Which means you'll have to think fast and move even faster to pin your opponent, hold him for a three-count, and become champion of Nintendo Pro Wrestling!","n/a","6.3","n/a","Human Entertainment","Oct 21, 1986 ","http://www.gamefaqs.com/famicomds/922342-pro-wrestling"
"Pro Wrestling: Famicom Wrestling Association","JP","Action,Fighting,Wrestling","It's a reverse bulldog, a double nogin-knocker, a leap off the top turnbuckle - it's pure pandemonium! Welcome to the world of Nintendo Pro Wrestling, where you take on six of the meanest, baddest, most rotten guys around. With names like The Amazon, Giant Panther and Kin Korn Karn. You'll begin the match by choosing a wrestler and an opponent - either the computer or a friend. Then with a flick of the wrist you'll perform drop-kicks, body-slams, head-locks and dozens of other bone-crunching moves designed to annihilate your opponent. But be warned. Each wrestler has his own arsenal of back-breaking moves. Which means you'll have to think fast and move even faster to pin your opponent, hold him for a three-count, and become champion of Nintendo Pro Wrestling!","n/a","6.3","n/a","Human Entertainment","Oct 21, 1986 ","http://www.gamefaqs.com/famicomds/922342-pro-wrestling"
"Professional Mahjong Gokuu","UN","Miscellaneous,Board Games","Professional Mahjong Gokuu is a Miscellaneous game, developed by Chat Noir and published by ASCII Entertainment,which was released in Japan in 1986.","n/a","7.0","n/a","Chat Noir","Dec 25, 1986 ","http://www.gamefaqs.com/famicomds/578364-professional-mahjong-gokuu"
"Pulsar no Hikari","UN","Strategy,Breeding/Constructing","Pulsar no Hikari is a Strategy game, developed and published by Soft Pro,which was released in Japan in 1987.","n/a","5.0","n/a","Soft Pro","Oct2, 1987 ","http://www.gamefaqs.com/famicomds/578494-pulsar-no-hikari"
"Putt Putt Golf","UN","Sports,Traditional,Golf,Arcade","Putt Putt Golf is a Sports game, published by Pack-In-Video,which was released in Japan in 1989.","n/a","n/a","n/a","Pack-In-Video","Mar 30, 1989 ","http://www.gamefaqs.com/famicomds/579424-putt-putt-golf"
"Puyo Puyo","UN","Miscellaneous,Puzzle,Matching","Puyo Puyo is a Miscellaneous game, developed by Compile and published by Tokuma Shoten,which was released in Japan in 1991.","n/a","10.0","n/a","Compile","Oct 25, 1991 ","http://www.gamefaqs.com/famicomds/918362-puyo-puyo"
"Puyo Puyo - Famimaga Disk Vol. 5","JP","Miscellaneous,Puzzle,Matching","Puyo Puyo is a Miscellaneous game, developed by Compile and published by Tokuma Shoten,which was released in Japan in 1991.","n/a","10.0","n/a","Compile","Oct 25, 1991 ","http://www.gamefaqs.com/famicomds/918362-puyo-puyo"
"Puyo Puyo","UN","Miscellaneous,Puzzle,Matching","Puyo Puyo is a Miscellaneous game, developed by Compile and published by Tokuma Shoten,which was released in Japan in 1991.","n/a","10.0","n/a","Compile","Oct 25, 1991 ","http://www.gamefaqs.com/famicomds/918362-puyo-puyo"
"Puyo Puyo - Famimaga Disk Vol. 5","JP","Miscellaneous,Puzzle,Matching","Puyo Puyo is a Miscellaneous game, developed by Compile and published by Tokuma Shoten,which was released in Japan in 1991.","n/a","10.0","n/a","Compile","Oct 25, 1991 ","http://www.gamefaqs.com/famicomds/918362-puyo-puyo"
"Puzzle Boys","UN","Miscellaneous,Puzzle,General","Puzzle Boys is a Miscellaneous game, developed and published by ATLUS,which was released in Japan in 1990.","n/a","n/a","n/a","ATLUS","Nov 16, 1990 ","http://www.gamefaqs.com/famicomds/579855-puzzle-boys"
"Jirai-Kun","UN","Miscellaneous,Puzzle,General","Jirai-Kun is a Miscellaneous game, developed and published by Jaleco Entertainment,which was released in Japan in 1988.","n/a","7.0","n/a","Jaleco Entertainment","Jul 29, 1988 ","http://www.gamefaqs.com/famicomds/578620-jirai-kun"
"Radical Bomber!! Jirai-Kun","JP","Miscellaneous,Puzzle,General","Jirai-Kun is a Miscellaneous game, developed and published by Jaleco Entertainment,which was released in Japan in 1988.","n/a","7.0","n/a","Jaleco Entertainment","Jul 29, 1988 ","http://www.gamefaqs.com/famicomds/578620-jirai-kun"
"Reflect World","UN","Action,Shooter,Scrolling","Reflect World is an Action game, developed and published by East Cube,which was released in Japan in 1987.","n/a","n/a","n/a","East Cube","Jun2, 1987 ","http://www.gamefaqs.com/famicomds/578430-reflect-world"
"Relics: Ankoku Yousai","UN","Action,Platformer,2D","Relics: Ankoku Yousai is an Action game, developed and published by Bothtec,which was released in Japan in 1987.","n/a","n/a","n/a","Bothtec","Apr 10, 1987 ","http://www.gamefaqs.com/famicomds/578406-relics-ankoku-yousai"
"Replicart","UN","Action,General","Replicart is an Action game, developed and published by Taito Corporation,which was released in Japan in 1988.","n/a","n/a","n/a","Taito Corporation","Feb 26, 1988 ","http://www.gamefaqs.com/famicomds/578556-replicart"
"Risa no Yousei Densetsu","UN","Adventure,General","Risa no Yousei Densetsu is an Adventure game, developed and published by Konami,which was released in Japan in 1988.","n/a","n/a","n/a","Konami","Jun 12, 1988 ","http://www.gamefaqs.com/famicomds/578599-risa-no-yousei-densetsu"
"Roger Rabbit","UN","Action,Platformer,2D","Roger Rabbit is an Action game, developed by Kotobuki Systems and published by Kemco,which was released in Japan in 1989.","n/a","n/a","n/a","Kotobuki Systems","Feb 16, 1989 ","http://www.gamefaqs.com/famicomds/579409-roger-rabbit"
"Samurai Sword","UN","Adventure,General","Samurai Sword is an Adventure game, developed and published by Capcom,which was released in Japan in 1988.","n/a","7.0","","Capcom","Nov 15, 1988 ","http://www.gamefaqs.com/famicomds/579353-samurai-sword"
"Santa Claus no Takarabako","UN","Miscellaneous,Party","Santa Claus no Takarabako is a Miscellaneous game, developed by Musical Plan Ltd. and published by Data East,which was released in Japan in 1987.","n/a","n/a","n/a","Musical Plan Ltd.","Dec4, 1987 ","http://www.gamefaqs.com/famicomds/578511-santa-claus-no-takarabako"
"SD Gundam World Map Collection","UN","Strategy,Breeding/Constructing","SD Gundam World Map Collection is a Strategy game, developed by Human Entertainment and published by Bandai,which was released in Japan in 1989.","n/a","n/a","n/a","Human Entertainment","Mar3, 1989 ","http://www.gamefaqs.com/famicomds/579421-sd-gundam-world-map-collection"
"SD Gundam World: Gachapon Senshi - Scramble Wars","UN","Strategy,Turn-Based,Sci-Fi","SD Gundam World: Gachapon Senshi - Scramble Wars is a Strategy game, developed by Human Entertainment and published by Bandai,which was released in Japan in 1988.","n/a","7.0","n/a","Human Entertainment","Jan 19, 1988 ","http://www.gamefaqs.com/famicomds/578543-sd-gundam-world-gachapon-senshi-scramble-wars"
"Section-Z","UN","Action,Shooter,Scrolling","Planet Earth in the year 2XXX. You are relaxing at the console of your computerized superconductor-generated interplanetary satellite communications system. Suddenly, high frequency radio and television transmissions blast warnings to all inhabitants to prepare for the brutal invading forces of Balangool Empire. Battle and defeat the space soldiers of Balangool. Penetrate their base divided in section A through SECTION Z, then destroy Balangool master control 'L-Brain.'","n/a","5.0","n/a","Capcom","May 25, 1987 ","http://www.gamefaqs.com/famicomds/922345-section-z"
"Seiken Psycho Caliber","UN","Role-Playing,Action RPG","Seiken Psycho Caliber is a Role-Playing game, developed by C-Lab and published by Imagineer,which was released in Japan in 1987.","n/a","6.5","n/a","C-Lab","May 19, 1987 ","http://www.gamefaqs.com/famicomds/578416-seiken-psycho-caliber"
"Seiken Psycho Caliber: Maju no Mori Densetsu","JP","Role-Playing,Action RPG","Seiken Psycho Caliber is a Role-Playing game, developed by C-Lab and published by Imagineer,which was released in Japan in 1987.","n/a","6.5","n/a","C-Lab","May 19, 1987 ","http://www.gamefaqs.com/famicomds/578416-seiken-psycho-caliber"
"Seiken Psycho Caliber","UN","Role-Playing,Action RPG","Seiken Psycho Caliber is a Role-Playing game, developed by C-Lab and published by Imagineer,which was released in Japan in 1987.","n/a","6.5","n/a","C-Lab","May 19, 1987 ","http://www.gamefaqs.com/famicomds/578416-seiken-psycho-caliber"
"Seiken Psycho Caliber: Maju no Mori Densetsu","JP","Role-Playing,Action RPG","Seiken Psycho Caliber is a Role-Playing game, developed by C-Lab and published by Imagineer,which was released in Japan in 1987.","n/a","6.5","n/a","C-Lab","May 19, 1987 ","http://www.gamefaqs.com/famicomds/578416-seiken-psycho-caliber"
"Famicom Disk System","UN","Hardware,Console","Famicom Disk System is a Hardware game, developed and published by Nintendo,which was released in Japan in 1986.","n/a","8.0","n/a","Nintendo","Feb 21, 1986 ","http://www.gamefaqs.com/famicomds/916578-famicom-disk-system"
"Nintendo Famicom Disk System","JP","Hardware,Console","Famicom Disk System is a Hardware game, developed and published by Nintendo,which was released in Japan in 1986.","n/a","8.0","n/a","Nintendo","Feb 21, 1986 ","http://www.gamefaqs.com/famicomds/916578-famicom-disk-system"
"SHARP Twin Famicom","JP","Hardware,Console","Famicom Disk System is a Hardware game, developed and published by Nintendo,which was released in Japan in 1986.","n/a","8.0","n/a","Nintendo","Feb 21, 1986 ","http://www.gamefaqs.com/famicomds/916578-famicom-disk-system"
"Smash Table Tennis","UN","Sports,General","Smash Table Tennis is a Sports game, developed by Konami and published by Nintendo,which was released in Japan in 1987.","n/a","n/a","","Konami","Jul 17, 2009 ","http://www.gamefaqs.com/famicomds/578419-smash-table-tennis"
"Smash Ping Pong","JP","Sports,General","Smash Table Tennis is a Sports game, developed by Konami and published by Nintendo,which was released in Japan in 1987.","n/a","n/a","","Konami","Jul 17, 2009 ","http://www.gamefaqs.com/famicomds/578419-smash-table-tennis"
"Smash Table Tennis","UN","Sports,General","Smash Table Tennis is a Sports game, developed by Konami and published by Nintendo,which was released in Japan in 1987.","n/a","n/a","","Konami","Jul 17, 2009 ","http://www.gamefaqs.com/famicomds/578419-smash-table-tennis"
"Smash Ping Pong","JP","Sports,General","Smash Table Tennis is a Sports game, developed by Konami and published by Nintendo,which was released in Japan in 1987.","n/a","n/a","","Konami","Jul 17, 2009 ","http://www.gamefaqs.com/famicomds/578419-smash-table-tennis"
"Soccer","UN","Sports,Traditional,Soccer,Sim","Soccer is a Sports game, developed and published by Nintendo,which was released in Japan in 1986.","n/a","7.0","n/a","Nintendo","Feb 21, 1986 ","http://www.gamefaqs.com/famicomds/922339-soccer"
"Solomon no Kagi","UN","Miscellaneous,Puzzle,General","Solomon no Kagi is a Miscellaneous game, developed and published by Tecmo,which was released in Japan in 1991.","n/a","6.0","n/a","Tecmo","Jan 25, 1991 ","http://www.gamefaqs.com/famicomds/922334-solomon-no-kagi"
"Suishou no Dragon","UN","Adventure,First-Person,Sci-Fi","Suishou no Dragon is an Adventure game, developed and published by SquareSoft,which was released in Japan in 1986.","n/a","6.5","n/a","SquareSoft","Dec 15, 1986 ","http://www.gamefaqs.com/famicomds/578357-suishou-no-dragon"
"Super Boy Allan","UN","Miscellaneous,General","Super Boy Allan is a Miscellaneous game, developed and published by SunSoft,which was released in Japan in 1987.","n/a","1.0","n/a","SunSoft","Mar 27, 1987 ","http://www.gamefaqs.com/famicomds/578394-super-boy-allan"
"Super Lode Runner","UN","Action,Platformer,2D","Super Lode Runner is an Action game, developed and published by Irem,which was released in Japan in 1987.","n/a","n/a","n/a","Irem","Mar5, 1987 ","http://www.gamefaqs.com/famicomds/578389-super-lode-runner"
"Super Lode Runner II","UN","Miscellaneous,Puzzle,Action","Super Lode Runner II is a Miscellaneous game, developed by Tamtex and published by Irem,which was released in Japan in 1987.","n/a","6.0","n/a","Tamtex","Aug 25, 1987 ","http://www.gamefaqs.com/famicomds/578468-super-lode-runner-ii"
"Super Mario Bros.: The Lost Levels","UN","Action,Platformer,2D","Super Mario Bros.: The Lost Levels is an Action game, developed and published by Nintendo,which was released in Japan in 1986.","8.6","7.9","","Nintendo","Oct1, 2007 ","http://www.gamefaqs.com/famicomds/916579-super-mario-bros-the-lost-levels"
"Super Mario Bros. 2","JP","Action,Platformer,2D","Super Mario Bros.: The Lost Levels is an Action game, developed and published by Nintendo,which was released in Japan in 1986.","8.6","7.9","","Nintendo","Oct1, 2007 ","http://www.gamefaqs.com/famicomds/916579-super-mario-bros-the-lost-levels"
"Super Mario Bros.: The Lost Levels","UN","Action,Platformer,2D","Super Mario Bros.: The Lost Levels is an Action game, developed and published by Nintendo,which was released in Japan in 1986.","8.6","7.9","","Nintendo","Oct1, 2007 ","http://www.gamefaqs.com/famicomds/916579-super-mario-bros-the-lost-levels"
"Super Mario Bros. 2","JP","Action,Platformer,2D","Super Mario Bros.: The Lost Levels is an Action game, developed and published by Nintendo,which was released in Japan in 1986.","8.6","7.9","","Nintendo","Oct1, 2007 ","http://www.gamefaqs.com/famicomds/916579-super-mario-bros-the-lost-levels"
"Super Mario Brothers","UN","Action,Platformer,2D","Super Mario Brothers is an Action game, developed and published by Nintendo,which was released in Japan in 1986.","9.2","8.9","n/a","Nintendo","Feb 21, 1986 ","http://www.gamefaqs.com/famicomds/578277-super-mario-brothers"
"Sylviana: Ai Ippai no Boukensha","UN","Role-Playing,Action RPG","Sylviana: Ai Ippai no Boukensha is a Role-Playing game, developed and published by Pack-In-Video,which was released in Japan in 1988.","n/a","8.0","n/a","Pack-In-Video","Aug 10, 1988 ","http://www.gamefaqs.com/famicomds/578636-sylviana-ai-ippai-no-boukensha"
